name,preco,marca,categoria,descricao_curta,stock_status,slug
Selank 10mg,602.55,,Peptideos,"10 mg - 1 frasco",on_request,selank-10mg
Semax 10mg,602.55,,Peptideos,"10 mg - 1 vial",on_request,semax-10mg
Sermorelin 10mg,534.04,,Peptideos,"10 mg - 1 frasco",on_request,sermorelin-10mg
SS-31 50mg,635.81,,Peptideos,"50 mg - 1 frasco",on_request,ss-31-50mg
TB500 10mg,499.79,,Peptideos,"10 mg - 1 frasco",on_request,tb500-10mg
Tesamorelin 10mg,602.55,,Peptideos,"10 mg - 1 frasco",on_request,tesamorelin-10mg
Tirzepatide 120mg,876.59,,Peptideos,"120 mg - 1 frasco",on_request,tirzepatide-120mg
Tirzepatide 60mg,635.81,,Peptideos,"60 mg - 1 vial",on_request,tirzepatide-60mg
Wolverine Blend 20mg,602.55,,Peptideos,"20 mg - 1 frasco",on_request,wolverine-blend-20mg
TG 15mg 4 ampolas,730,,Emagrecedores,"15 mg - 4 ampolas. Preco catalogo: USD 730",on_request,tg-15-4-ampolas
Lipoless 15mg 4 ampolas,650,,Emagrecedores,"15 mg - 4 ampolas. Preco catalogo: USD 650",on_request,lipoless-15-4-ampolas
Lipoland ampola unica,680,,Emagrecedores,"Ampola unica. Preco catalogo: USD 680",on_request,lipoland-ampola-unica
Lipoless ampola unica,600,,Emagrecedores,"Ampola unica. Preco catalogo: USD 600",on_request,lipoless-ampola-unica
Tirzec 4 ampolas,700,,Emagrecedores,"4 ampolas. Preco catalogo: USD 700",on_request,tirzec-4-ampolas
Tirzec 15mg ampola unica,650,,Emagrecedores,"15 mg - Ampola unica. Preco catalogo: USD 650",on_request,tirzec-15mg-ampola-unica
